id,Gender,Age,Driving_License,Licence_Type,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Seniority,Target
156,Male,44,1,A,47,Yes,1-2 Year,No,28472,16,17,0
157,Male,44,1,D,28,No,1-2 Year,Yes,36169,26,289,1
158,Male,66,1,C,28,No,1-2 Year,No,44859,26,160,0
159,Male,25,1,B,22,Yes,< 1 Year,No,30111,152,296,0
160,Male,40,1,A,8,No,1-2 Year,Yes,28671,124,268,0
161,Male,24,1,A,43,Yes,< 1 Year,No,22869,152,204,0
162,Female,53,1,C,28,No,1-2 Year,Yes,2630,124,206,0
163,Male,34,1,M,36,No,1-2 Year,Yes,33750,26,221,0
164,Female,26,0,,29,Yes,< 1 Year,No,33725,152,228,0
165,Female,46,1,C,28,No,1-2 Year,Yes,63567,26,158,1
166,Female,44,1,B,28,No,1-2 Year,Yes,39828,124,246,1
167,Male,24,1,M,8,Yes,< 1 Year,No,40717,152,87,0
168,Male,44,1,A,31,Yes,1-2 Year,Yes,2630,26,11,0
169,Male,49,1,C,7,No,1-2 Year,No,2630,124,46,0
170,Male,58,1,B,46,No,1-2 Year,Yes,26400,124,257,0
171,Female,23,1,C,15,No,< 1 Year,Yes,37752,152,265,1
172,Male,69,1,A,48,No,1-2 Year,No,2630,124,256,0
173,Male,45,1,B,41,Yes,1-2 Year,No,42006,12,285,0
174,Male,39,1,M,49,No,1-2 Year,Yes,25572,154,252,1
175,Female,31,1,A,30,Yes,< 1 Year,No,28746,160,33,0
176,Female,29,1,M,8,Yes,< 1 Year,No,31807,160,176,0
177,Female,34,1,M,36,No,1-2 Year,Yes,32938,124,191,1
178,Male,40,0,,3,Yes,1-2 Year,No,2630,124,143,0
179,Female,46,1,C,43,No,1-2 Year,Yes,29500,154,273,0
180,Male,24,1,M,18,Yes,< 1 Year,No,27077,152,44,0
181,Male,34,1,B,3,No,1-2 Year,Yes,24655,124,117,1
182,Male,80,1,M,46,Yes,1-2 Year,No,27840,122,17,0
183,Female,24,0,,30,No,< 1 Year,Yes,33004,152,168,1
184,Male,45,0,,8,Yes,1-2 Year,No,71086,124,209,0
185,Female,37,1,B,28,No,1-2 Year,Yes,47012,26,12,0
186,Female,57,1,D,28,No,1-2 Year,Yes,43705,124,249,0
187,Female,52,1,B,8,No,1-2 Year,Yes,37756,3,132,0
188,Male,56,1,B,28,No,1-2 Year,Yes,43639,26,184,0
189,Male,22,1,A,46,Yes,< 1 Year,No,36231,160,172,0
190,Female,24,1,M,8,Yes,< 1 Year,No,34310,152,49,0
191,Male,36,1,M,46,No,1-2 Year,No,27661,26,232,0
192,Female,22,1,D,6,Yes,< 1 Year,No,23619,152,103,0
193,Female,22,1,B,29,Yes,< 1 Year,No,51169,152,131,0
194,Female,23,1,D,46,No,< 1 Year,No,36669,152,157,0
195,Female,54,1,M,33,No,1-2 Year,Yes,2630,156,94,1
196,Male,50,1,C,28,Yes,1-2 Year,No,52276,26,262,0
197,Female,36,1,A,28,No,1-2 Year,Yes,58718,124,224,1
198,Female,36,1,A,28,Yes,1-2 Year,No,31880,124,79,0
199,Male,48,1,A,30,No,1-2 Year,Yes,2630,156,253,1
200,Female,22,1,M,7,Yes,< 1 Year,No,47398,152,42,0
201,Male,37,1,M,28,No,1-2 Year,Yes,37896,124,232,1
202,Male,23,1,D,8,No,< 1 Year,Yes,30136,152,164,1
203,Female,45,1,D,45,No,1-2 Year,Yes,2630,157,131,0
204,Female,79,1,D,28,No,1-2 Year,Yes,62484,124,39,0
205,Male,42,1,A,3,No,1-2 Year,Yes,25437,156,117,0
206,Male,38,1,D,31,No,1-2 Year,Yes,2630,124,10,0
207,Female,25,0,,47,Yes,< 1 Year,No,26076,152,83,0
208,Male,35,0,,8,Yes,1-2 Year,No,32915,152,213,0
209,Male,45,1,D,28,Yes,1-2 Year,No,27440,124,81,0
210,Male,21,1,C,32,Yes,< 1 Year,No,36726,160,296,0
211,Male,21,1,C,45,No,< 1 Year,No,2630,160,190,0
212,Female,23,1,C,50,No,< 1 Year,No,39620,152,242,0
213,Female,79,1,C,28,No,1-2 Year,Yes,46675,124,154,0
214,Male,57,1,M,28,No,1-2 Year,Yes,66631,4,170,1
215,Male,48,1,C,28,No,1-2 Year,Yes,41262,25,123,1
216,Female,51,1,C,28,Yes,1-2 Year,Yes,52111,26,243,0
217,Male,21,1,A,17,Yes,< 1 Year,No,25635,152,214,0
218,Female,40,1,D,29,No,1-2 Year,Yes,29628,157,123,1
219,Female,43,1,M,28,Yes,1-2 Year,No,45711,124,118,0
220,Male,39,1,C,11,No,1-2 Year,Yes,39481,124,125,1
221,Male,56,1,C,15,Yes,1-2 Year,No,2630,124,42,0
222,Male,46,1,A,21,No,1-2 Year,Yes,2630,152,36,1
223,Female,29,1,D,28,No,1-2 Year,Yes,27524,156,187,1
224,Male,46,1,C,12,No,1-2 Year,Yes,25063,26,207,0
225,Male,49,1,C,28,Yes,1-2 Year,Yes,2630,158,92,0
226,Male,48,1,B,34,No,1-2 Year,Yes,34966,155,227,1
227,Male,48,1,C,46,No,1-2 Year,Yes,37626,11,168,0
228,Male,35,1,B,23,No,1-2 Year,Yes,22138,26,157,1
229,Male,65,1,D,27,No,1-2 Year,No,29368,26,61,0
230,Female,20,1,B,13,No,< 1 Year,Yes,2630,160,148,0
231,Female,59,0,,28,No,1-2 Year,Yes,35463,26,99,0
232,Male,53,1,D,28,Yes,1-2 Year,No,29363,125,169,0
233,Male,38,1,B,41,No,1-2 Year,Yes,2630,157,208,0
234,Male,51,1,C,8,No,1-2 Year,Yes,36004,124,291,0
235,Male,39,1,M,37,No,1-2 Year,Yes,33524,124,58,0
236,Male,22,1,D,30,No,< 1 Year,Yes,2630,160,22,0
237,Female,51,1,A,28,No,1-2 Year,Yes,27804,26,212,1
238,Male,40,1,M,35,No,1-2 Year,No,33451,31,108,0
239,Female,47,1,C,46,No,1-2 Year,Yes,27881,124,271,0
240,Male,42,1,M,28,No,1-2 Year,Yes,41898,124,97,1
241,Female,23,1,D,29,Yes,< 1 Year,No,35198,152,67,0
242,Male,27,1,D,28,No,1-2 Year,Yes,52215,156,130,0
243,Male,22,1,M,10,Yes,< 1 Year,No,34104,26,94,0
244,Male,27,1,M,30,Yes,< 1 Year,No,25739,152,297,0
245,Female,23,1,C,41,No,< 1 Year,Yes,34693,152,296,0
246,Female,54,1,A,28,No,1-2 Year,Yes,2630,157,44,1
247,Male,45,1,M,28,No,1-2 Year,No,2630,157,96,1
248,Male,38,1,A,28,No,1-2 Year,Yes,52967,122,56,1
249,Female,56,1,A,33,No,1-2 Year,Yes,32645,26,237,0
250,Female,45,1,B,46,No,> 2 Years,Yes,41023,124,70,0
251,Female,24,1,C,18,Yes,< 1 Year,No,39804,152,26,0
252,Male,34,1,D,41,Yes,1-2 Year,No,36837,124,256,0
253,Female,26,1,A,29,Yes,< 1 Year,No,24701,152,87,0
254,Male,27,1,D,28,Yes,< 1 Year,No,51316,152,67,0
255,Male,36,1,M,28,No,1-2 Year,Yes,42426,156,285,0
256,Male,39,1,B,46,No,1-2 Year,Yes,33386,124,107,1
257,Female,24,1,A,10,Yes,< 1 Year,No,40931,152,148,0
258,Female,45,1,D,28,No,1-2 Year,Yes,69856,26,63,1
259,Male,23,1,M,11,Yes,< 1 Year,No,25913,152,215,0
260,Female,65,1,D,11,No,> 2 Years,Yes,35748,26,47,1
261,Male,39,1,A,2,No,1-2 Year,Yes,30557,26,173,1
262,Male,31,1,C,28,No,< 1 Year,Yes,2630,158,290,0
263,Male,53,1,A,28,No,1-2 Year,No,45551,124,225,0
264,Female,35,1,D,41,No,1-2 Year,Yes,2630,136,122,1
265,Male,49,1,M,46,No,1-2 Year,Yes,29056,124,178,1
266,Male,24,1,B,25,No,< 1 Year,No,36529,152,166,0
267,Female,46,1,A,28,No,1-2 Year,Yes,38368,26,242,1
268,Male,31,1,A,8,No,1-2 Year,Yes,2630,156,255,1
269,Male,41,1,M,28,Yes,1-2 Year,No,33988,152,91,0
270,Female,38,1,D,28,No,1-2 Year,No,30659,122,259,0
271,Male,24,1,B,50,No,< 1 Year,Yes,33452,152,202,0
272,Female,26,1,D,37,No,< 1 Year,Yes,26899,152,122,0
273,Male,42,1,A,29,No,1-2 Year,Yes,47821,124,18,0
274,Female,25,1,B,30,No,< 1 Year,Yes,28844,152,291,0
275,Male,25,1,D,32,Yes,< 1 Year,No,24811,152,73,0
276,Female,28,1,C,28,Yes,< 1 Year,No,25339,152,88,0
277,Female,44,1,A,17,No,1-2 Year,Yes,30733,26,79,0
278,Male,23,1,A,11,No,1-2 Year,Yes,24174,124,121,1
279,Female,41,1,M,39,No,> 2 Years,Yes,2630,26,79,1
280,Female,22,1,M,28,No,< 1 Year,Yes,46608,152,145,1
281,Male,56,1,B,28,No,1-2 Year,Yes,35827,26,292,1
282,Female,79,1,A,19,No,1-2 Year,Yes,2630,156,36,1
283,Female,52,1,M,28,Yes,1-2 Year,No,37691,124,286,0
284,Male,33,1,B,21,Yes,< 1 Year,No,19394,152,142,0
285,Male,68,1,D,8,No,1-2 Year,Yes,33974,7,40,0
286,Male,53,1,M,28,Yes,1-2 Year,No,30122,124,69,0
287,Female,24,1,D,17,Yes,< 1 Year,No,32094,152,149,0
288,Female,28,1,C,28,No,< 1 Year,Yes,37466,152,107,0
289,Male,24,1,C,39,No,< 1 Year,Yes,31503,152,213,0
290,Female,26,0,,17,Yes,< 1 Year,No,2630,152,96,0
291,Male,66,1,C,28,No,1-2 Year,Yes,47298,26,200,0
292,Female,35,1,A,29,No,1-2 Year,Yes,42569,124,231,1
293,Male,45,1,B,28,No,1-2 Year,Yes,38773,124,124,1
294,Female,22,1,C,8,Yes,< 1 Year,No,32132,152,117,0
295,Male,67,1,C,10,Yes,1-2 Year,No,2630,124,82,0
296,Male,48,1,D,28,No,1-2 Year,Yes,40945,26,265,0
297,Female,26,1,C,13,Yes,< 1 Year,No,25342,152,204,0
298,Female,26,1,M,28,Yes,< 1 Year,No,45927,152,24,0
299,Male,58,1,B,15,No,1-2 Year,Yes,42851,124,222,0
300,Male,23,1,A,41,No,< 1 Year,Yes,24890,152,64,1
301,Female,25,1,B,41,No,< 1 Year,Yes,66266,152,53,0
302,Female,42,1,D,28,No,1-2 Year,Yes,62247,124,72,0
303,Male,44,1,B,41,Yes,1-2 Year,No,31526,26,63,0
304,Male,77,1,A,29,Yes,1-2 Year,No,37365,12,70,0
305,Female,24,1,C,32,No,< 1 Year,Yes,2630,152,55,0
306,Female,38,1,D,31,Yes,1-2 Year,No,2630,26,292,0
307,Male,40,1,A,28,No,1-2 Year,Yes,49203,26,113,1
308,Female,63,1,M,28,No,1-2 Year,Yes,2630,24,14,1
309,Male,43,1,B,8,No,> 2 Years,Yes,32863,124,134,1
310,Male,38,1,M,32,No,1-2 Year,Yes,2630,156,201,1
311,Male,51,1,D,28,No,1-2 Year,Yes,36552,26,206,0
312,Male,21,1,M,30,No,< 1 Year,Yes,41247,152,231,0
313,Female,49,1,B,44,No,1-2 Year,Yes,26779,8,138,0
314,Female,24,1,C,3,Yes,< 1 Year,No,37140,152,159,0
315,Female,30,1,C,12,No,< 1 Year,Yes,2630,26,160,1
316,Male,38,1,M,30,Yes,1-2 Year,No,2630,152,56,0
317,Male,31,1,D,44,Yes,< 1 Year,No,33638,152,100,0
318,Male,22,1,C,43,Yes,< 1 Year,No,25738,152,177,0
319,Male,68,1,A,28,No,1-2 Year,Yes,49115,26,178,0
320,Male,31,1,B,33,Yes,< 1 Year,No,44000,152,204,0
321,Male,32,0,,24,No,< 1 Year,Yes,33592,152,244,0
322,Female,22,1,M,43,Yes,< 1 Year,No,31828,152,280,0
323,Male,58,1,A,28,No,1-2 Year,Yes,41874,26,182,1
324,Male,60,1,B,7,Yes,1-2 Year,No,2630,26,61,0
325,Male,25,1,B,45,Yes,< 1 Year,No,41301,152,148,0
326,Female,37,1,B,45,Yes,1-2 Year,No,20298,152,224,0
327,Female,42,1,M,45,No,1-2 Year,Yes,39045,124,159,1
328,Male,55,1,B,28,Yes,1-2 Year,Yes,34712,26,48,0
329,Male,60,1,M,35,Yes,1-2 Year,No,26085,26,67,0
330,Female,62,1,B,28,Yes,1-2 Year,Yes,40738,26,281,0
331,Female,54,1,B,46,Yes,1-2 Year,No,20317,122,44,0
332,Male,48,1,D,38,No,1-2 Year,Yes,34156,26,53,1
333,Female,44,1,M,28,No,1-2 Year,Yes,29172,26,83,1
334,Female,39,1,D,28,No,> 2 Years,Yes,37418,122,296,1
335,Female,69,1,D,28,No,1-2 Year,Yes,89237,26,277,0
336,Female,22,0,,45,Yes,< 1 Year,No,27635,152,170,0
337,Female,58,1,D,28,No,1-2 Year,Yes,38195,26,197,1
338,Female,53,1,C,28,No,1-2 Year,Yes,51472,26,26,0
339,Female,32,1,D,15,Yes,< 1 Year,No,29749,152,232,0
340,Male,22,1,D,49,No,< 1 Year,No,41571,152,210,0
341,Male,53,0,,41,No,1-2 Year,Yes,2630,124,249,0
342,Female,28,1,A,18,No,< 1 Year,Yes,39501,140,74,1
343,Male,40,1,B,48,No,1-2 Year,Yes,2630,15,203,1
344,Female,51,1,M,41,No,1-2 Year,Yes,20048,26,157,0
345,Male,45,1,C,3,No,1-2 Year,Yes,40987,124,98,1
346,Female,25,1,C,15,No,< 1 Year,Yes,38815,152,172,0
347,Male,34,1,C,3,No,1-2 Year,Yes,45940,124,100,0
348,Male,47,1,M,8,No,1-2 Year,Yes,46493,124,128,1
349,Male,43,0,,13,No,1-2 Year,Yes,2630,26,131,0
350,Male,37,0,,31,No,1-2 Year,Yes,2630,124,112,0
351,Female,24,1,A,16,Yes,< 1 Year,No,19172,152,27,0
352,Male,42,1,M,33,No,1-2 Year,Yes,41119,124,171,0
353,Male,26,0,,28,Yes,< 1 Year,No,44537,152,107,0
354,Female,26,1,D,46,No,< 1 Year,Yes,42543,152,69,0
355,Male,22,1,A,6,No,< 1 Year,Yes,35226,152,277,0
356,Male,26,0,,28,Yes,< 1 Year,No,60413,152,124,0
357,Female,37,1,A,28,No,1-2 Year,Yes,41046,26,220,1
358,Female,48,1,D,28,No,1-2 Year,Yes,60796,52,188,1
359,Female,39,1,A,28,No,1-2 Year,Yes,35357,124,257,0
360,Male,29,1,B,6,Yes,< 1 Year,No,14791,152,240,0
361,Female,26,1,B,33,Yes,< 1 Year,No,29758,152,157,0
362,Female,25,1,B,41,Yes,< 1 Year,No,28598,152,118,0
363,Male,41,1,C,45,No,1-2 Year,Yes,23333,26,182,0
364,Female,29,1,C,28,No,1-2 Year,Yes,56301,26,138,1
365,Male,41,1,M,33,No,1-2 Year,Yes,2630,157,221,0
366,Female,22,1,M,36,Yes,< 1 Year,No,32814,152,138,0
367,Female,55,1,M,28,No,1-2 Year,No,41587,124,81,0
368,Male,43,1,B,29,No,1-2 Year,Yes,32382,124,194,1
369,Female,49,1,M,8,No,1-2 Year,Yes,36099,26,254,1
370,Female,20,1,C,3,Yes,< 1 Year,No,36403,160,144,0
371,Male,23,1,D,36,No,< 1 Year,Yes,39185,152,187,0
372,Female,23,1,A,46,Yes,< 1 Year,No,32432,152,270,0
373,Female,44,1,C,29,No,1-2 Year,Yes,24205,124,53,1
374,Male,37,1,A,33,No,1-2 Year,Yes,31135,124,189,1
375,Male,22,1,M,6,Yes,< 1 Year,No,24724,152,206,0
376,Male,43,0,,28,No,1-2 Year,Yes,29808,124,265,1
377,Female,40,1,A,47,Yes,1-2 Year,No,30116,152,85,0
378,Male,41,1,C,25,No,1-2 Year,Yes,20744,26,51,0
379,Male,65,1,A,28,No,1-2 Year,Yes,30352,125,184,0
380,Male,28,1,B,45,Yes,< 1 Year,No,2630,152,171,0
381,Male,25,1,C,8,No,< 1 Year,Yes,37697,26,289,0
382,Female,31,1,C,28,No,< 1 Year,Yes,31713,152,103,1
383,Female,39,0,,6,Yes,1-2 Year,No,2630,124,171,0
384,Female,47,1,A,48,No,1-2 Year,Yes,2630,15,284,1
385,Female,28,1,A,14,Yes,< 1 Year,No,20827,151,59,0
386,Female,29,1,B,28,No,1-2 Year,Yes,2630,157,209,1
387,Male,24,1,A,8,Yes,< 1 Year,No,34773,152,75,0
388,Female,53,1,D,30,Yes,1-2 Year,No,27468,152,33,0
389,Female,22,1,A,17,Yes,< 1 Year,No,35100,152,249,0
390,Female,28,1,A,46,Yes,1-2 Year,No,35258,124,153,0
391,Male,24,1,D,28,Yes,< 1 Year,No,26171,151,228,0
392,Male,57,1,M,28,No,1-2 Year,Yes,30694,26,227,1
393,Male,46,1,D,14,No,1-2 Year,Yes,2630,26,172,1
394,Male,35,0,,28,No,1-2 Year,Yes,38916,124,275,1
395,Female,23,1,C,33,No,1-2 Year,Yes,2630,156,13,1
396,Male,55,1,M,8,No,1-2 Year,Yes,65744,26,75,0
397,Male,51,1,C,8,No,1-2 Year,Yes,35162,25,92,1
398,Female,33,1,M,33,No,1-2 Year,Yes,80415,156,252,1
399,Male,25,1,D,42,No,< 1 Year,Yes,31274,152,283,0
400,Female,24,1,C,15,No,< 1 Year,Yes,28211,152,159,0
401,Male,24,0,,8,Yes,< 1 Year,No,29491,152,223,0
402,Female,50,1,C,20,No,1-2 Year,Yes,2630,124,281,1
403,Male,27,1,M,28,No,< 1 Year,Yes,43593,26,145,1
404,Male,48,1,B,8,No,1-2 Year,No,40881,124,192,0
405,Female,35,1,A,2,Yes,1-2 Year,No,15689,152,123,0
406,Male,39,1,D,28,No,1-2 Year,Yes,62877,26,96,1
407,Female,43,1,B,32,No,1-2 Year,Yes,34647,124,248,1
408,Male,22,1,C,36,Yes,< 1 Year,Yes,35120,152,63,0
409,Male,45,1,C,28,No,1-2 Year,Yes,2630,156,44,1
410,Female,39,1,D,28,Yes,1-2 Year,No,46148,24,230,0
411,Male,46,1,B,41,No,1-2 Year,Yes,27372,124,205,1
412,Male,68,1,M,28,No,1-2 Year,Yes,39926,26,298,0
